Mesh_ID,Mesh_Index,Modality,Mean_IoU,Mean_Dice,Std_IoU,Std_Dice,Num_Instances,Num_Predicted_Masks,Mesh_Runtime
00200996b8f34f55a2dd2f44d316d107,0,normal,0.35046167570081627,0.46989022398536856,0.23750086503211262,0.28075373936287135,11,13,548.7685430049896
00200996b8f34f55a2dd2f44d316d107,0,point,0.2534789585254409,0.3373642231930386,0.2703995659767436,0.3171530460316326,11,6,548.7685430049896
00200996b8f34f55a2dd2f44d316d107,0,matte,0.33826063674959267,0.4301876589994539,0.30709519572266114,0.3333783009470943,11,15,548.7685430049896
002e462c8bfa4267a9c9f038c7966f3b,1,normal,0.25721207544362795,0.3026326207133631,0.35909746252394303,0.37732216971470495,6,8,425.67281579971313
002e462c8bfa4267a9c9f038c7966f3b,1,point,0.13857930972396085,0.20342838764190674,0.1845664018869663,0.24814907741898742,6,5,425.67281579971313
002e462c8bfa4267a9c9f038c7966f3b,1,matte,0.23042710175892958,0.28693430645701784,0.30927711053991525,0.35122992932953634,6,6,425.67281579971313
00790c705e4c4a1fbc0af9bf5c9e9525,2,normal,0.24318525307656577,0.28710167461152497,0.34710720219692254,0.37701126211681923,12,7,405.86734795570374
00790c705e4c4a1fbc0af9bf5c9e9525,2,point,0.23979319175547667,0.2846745181426134,0.34422142201094635,0.3721626146899485,12,9,405.86734795570374
00790c705e4c4a1fbc0af9bf5c9e9525,2,matte,0.15564319916393288,0.1819932372375964,0.30591210141472436,0.33366655099677667,12,5,405.86734795570374
00aee5c2fef743d69421bb642d446a5b,3,normal,0.4034728407859802,0.5709472596645355,0.07440295815467834,0.07575902342796326,2,6,476.09979915618896
00aee5c2fef743d69421bb642d446a5b,3,point,0.41677722334861755,0.5853033363819122,0.06569874286651611,0.06560227274894714,2,5,476.09979915618896
00aee5c2fef743d69421bb642d446a5b,3,matte,0.6875429302453995,0.7964664399623871,0.20853595435619354,0.14872512221336365,2,5,476.09979915618896
01b8043112e74366a21256d5e64398fb,4,normal,0.49405395053327084,0.5043974643340334,0.48398086687407665,0.4845650792670147,4,4,504.09922099113464
01b8043112e74366a21256d5e64398fb,4,point,0.1778793859994039,0.26545418123714626,0.1710913851220564,0.25184567471355707,4,2,504.09922099113464
01b8043112e74366a21256d5e64398fb,4,matte,0.49611611053114757,0.5026119140675291,0.48995393855007424,0.4903941431452852,4,4,504.09922099113464
01fe14f50de443e4b11ad1fe033df666,5,normal,0.19997387070179684,0.2418857474840479,0.3212755178143608,0.3440779288557198,12,7,382.2242703437805
01fe14f50de443e4b11ad1fe033df666,5,point,0.21805761099919133,0.28699047430321417,0.28185058112339867,0.31406630227032256,12,11,382.2242703437805
01fe14f50de443e4b11ad1fe033df666,5,matte,0.22054575678581992,0.28280560156175244,0.29677225668936885,0.3274442934908089,12,9,382.2242703437805
02e777bdc5114b148963ed3def6ad471,6,normal,0.6485122249772152,0.6911434059341749,0.40632482928093366,0.38861369560134273,6,10,410.0053870677948
02e777bdc5114b148963ed3def6ad471,6,point,0.4829959940786163,0.5683333780616522,0.36627254886053245,0.3419021662282499,6,7,410.0053870677948
02e777bdc5114b148963ed3def6ad471,6,matte,0.6001771421482166,0.6630741419891516,0.3777404206545003,0.3702720803887479,6,12,410.0053870677948
053b8a4984e340ad94f3b563594ff09d,7,normal,0.14467732033226638,0.16243777819909155,0.3124866529979511,0.3343252166305204,10,5,410.3462858200073
053b8a4984e340ad94f3b563594ff09d,7,point,0.22677818723022938,0.25633054636418817,0.35688675456054675,0.3923029860850328,10,6,410.3462858200073
053b8a4984e340ad94f3b563594ff09d,7,matte,0.14914414989689248,0.1718792330571887,0.30908043070223595,0.3295240070144323,10,8,410.3462858200073
062c791e78a643f7bd380c336f809389,8,normal,0.5361435651779175,0.6567662060260773,0.2797692901883532,0.22807544659269943,5,11,547.0521821975708
062c791e78a643f7bd380c336f809389,8,point,0.3152188405394554,0.43705323785543443,0.23178769373435154,0.24304016080166604,5,5,547.0521821975708
062c791e78a643f7bd380c336f809389,8,matte,0.5520284980535507,0.6704778075218201,0.2784899551780416,0.22974685878652948,5,7,547.0521821975708
