Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice,iou_view_0,iou_view_1,iou_view_2,iou_view_3,iou_view_4,iou_view_5,iou_view_6,iou_view_7,iou_view_8,iou_view_9,iou_view_10,iou_view_11,dice_view_0,dice_view_1,dice_view_2,dice_view_3,dice_view_4,dice_view_5,dice_view_6,dice_view_7,dice_view_8,dice_view_9,dice_view_10,dice_view_11
Dual (Normal+Point) + Geo-aware mem (GT prompts),63695230beb44ae68650bdd4d914917f,86,60.16720359524091,69.04872556527457,14.037220796843409,13.709069488556183,92.50834584236145,67.38191843032837,58.01956057548523,45.2240526676178,53.79859805107117,64.61846828460693,71.56473398208618,68.22764277458191,63.85934352874756,53.49079370498657,46.121054887771606,37.191930413246155,96.00071310997009,78.03736925125122,69.41134333610535,55.66088557243347,62.31124997138977,75.31459927558899,81.38068318367004,77.57944464683533,73.22731018066406,61.68147921562195,55.421382188797,42.55824685096741
Dual (Normal+Point) + Geo-aware mem (GT prompts),ed24b6e27921449f935509d9f3da043f,181,65.60350308815637,74.44946120182672,16.390505501307278,14.275758092654023,97.63867855072021,84.42381024360657,78.53671908378601,74.2023766040802,50.68017840385437,64.47870135307312,76.60826444625854,67.9452657699585,52.78913974761963,48.436057567596436,44.26478147506714,47.23806381225586,98.78855347633362,90.41020274162292,85.87652444839478,83.75350832939148,60.172683000564575,75.132817029953,85.75714826583862,79.43912148475647,60.308003425598145,59.03076529502869,56.23050928115845,58.49369764328003
Dual (Normal+Point) + Geo-aware mem (GT prompts),3031b834ab514a0fb91e0fec151ed0ff,39,70.32622943321863,76.2583002448082,16.78724483662011,15.363365987367766,97.36875891685486,91.69027805328369,90.91030955314636,66.30924344062805,58.9974582195282,75.2079725265503,87.05556392669678,66.66019558906555,50.66604018211365,56.86730146408081,51.807260513305664,50.37437081336975,98.64150285720825,95.48254013061523,94.93681192398071,70.28565406799316,64.61797952651978,83.48289728164673,92.46143102645874,74.66917037963867,58.68247747421265,67.94974207878113,56.43141269683838,57.45798349380493
Dual (Normal+Point) + Geo-aware mem (GT prompts),d4f7c4b5f9bd4284899477cb1f5bb48f,168,53.0309684574604,59.63680570324262,10.612214296056552,9.808230978506904,79.60237860679626,53.14836502075195,63.2768988609314,51.94881558418274,45.26161849498749,58.28124284744263,61.340391635894775,48.37438762187958,43.46210956573486,43.737050890922546,40.93644618988037,47.00191617012024,79.80063557624817,62.937480211257935,69.86224055290222,62.4856173992157,51.27427577972412,66.56681895256042,69.15051341056824,53.5056471824646,49.66227114200592,49.70960319042206,48.416051268577576,52.27051377296448
Dual (Normal+Point) + Geo-aware mem (GT prompts),6499bf2bcc024d419bd23f4d2eb332ce,87,47.5402479370435,52.57495567202568,12.64793510986484,11.865745151806955,85.3480339050293,43.502843379974365,41.04361534118652,37.682044506073,36.24866306781769,35.50853431224823,55.06411790847778,48.50499927997589,46.43205404281616,45.82364857196808,47.153544425964355,48.17087650299072,86.40391826629639,49.045926332473755,44.7860062122345,42.622023820877075,39.83973264694214,40.44666588306427,59.66506600379944,54.21527624130249,52.72362232208252,51.693570613861084,54.158467054367065,55.299192667007446
Dual (Normal+Point) + Geo-aware mem (GT prompts),f044310ff65243f9b90fa0904025c034,185,57.190798223018646,65.70887317260107,13.641911691626248,13.292789363101583,89.43943381309509,71.35170698165894,59.22253727912903,47.49492108821869,53.31124663352966,65.22270441055298,60.59514284133911,41.56970977783203,56.526029109954834,49.60271716117859,34.799179434776306,57.154250144958496,93.93565654754639,76.53710842132568,64.6537721157074,49.122533202171326,66.32544994354248,75.81669688224792,71.6991126537323,52.13571786880493,69.49530839920044,63.16315531730652,41.54230058193207,64.07966613769531
Dual (Normal+Point) + Geo-aware mem (GT prompts),31b3720044ca458d90461a4ba5a22abf,40,58.675599098205566,66.91147461533546,15.32901135697749,14.875129279535932,95.57188153266907,68.8481867313385,71.401846408844,49.819186329841614,48.00161421298981,65.91272354125977,47.754839062690735,32.17925727367401,53.88671159744263,62.96808123588562,58.32982659339905,49.43303465843201,97.69858717918396,75.92916488647461,81.83931708335876,60.7563853263855,58.47935080528259,74.2363452911377,55.89330196380615,35.01249849796295,61.97550892829895,71.89428210258484,69.18704509735107,60.035908222198486
Dual (Normal+Point) + Geo-aware mem (GT prompts),002e462c8bfa4267a9c9f038c7966f3b,1,78.81210347016653,82.28106747070947,18.1383391564428,17.377584097286345,98.91446828842163,96.0606336593628,97.12490439414978,91.72772169113159,85.29742956161499,84.44689512252808,91.034334897995,49.03915822505951,43.890246748924255,64.80973362922668,79.37486171722412,64.02485370635986,99.4527518749237,97.95892238616943,98.53609800338745,95.39506435394287,89.93473052978516,89.97623324394226,95.21293640136719,56.04751110076904,46.626365184783936,71.6278076171875,81.29229545593262,65.31209349632263
Dual (Normal+Point) + Geo-aware mem (GT prompts),554899583c654f3e84ba4b4263b4bb94,71,55.250973254442215,61.275698244571686,6.221317075721402,5.66684532341914,67.05343127250671,55.72679042816162,54.68496084213257,50.06053447723389,43.12845468521118,57.865673303604126,52.4552047252655,48.50703179836273,61.16997003555298,62.59620785713196,54.06835079193115,55.69506883621216,69.29829716682434,61.90797686576843,58.49013328552246,57.77487754821777,50.83763003349304,64.53113555908203,55.87153434753418,55.18396496772766,67.60422587394714,69.70969438552856,60.96886396408081,63.13004493713379
Dual (Normal+Point) + Geo-aware mem (GT prompts),b51e3cb5e548409f940eb38f8db551d2,150,45.6336001555125,54.450820138057075,14.74078472790555,13.319672728027804,85.31067371368408,55.293482542037964,47.71437644958496,25.64239799976349,32.921600341796875,43.1470513343811,56.33867383003235,44.11304295063019,38.26985955238342,42.207103967666626,44.58218812942505,32.062751054763794,86.39188408851624,65.37684798240662,55.919528007507324,32.82611668109894,43.02303493022919,52.585774660110474,65.89674949645996,55.70983290672302,47.702693939208984,53.072601556777954,54.78416085243225,40.12061655521393
