Model,View,Mean IoU,Std IoU,Mean Dice,Std Dice
Orig mem + Normal,0,81.03759087622166,17.571125991298526,82.75214716792107,17.38552809922204
Orig mem + Normal,1,61.67659785598516,23.95136710495165,66.66022021323442,22.963202221189583
Orig mem + Normal,2,55.75870729982852,24.351373484896797,61.114271730184555,23.91312859274492
Orig mem + Normal,3,45.55553070269525,22.340555952787902,50.78050474636257,22.5098296258022
Orig mem + Normal,4,44.16296264156699,23.05288919777485,49.199345260858536,23.241036827339123
Orig mem + Normal,5,49.54462599940598,23.6859203683885,54.67088859528303,23.56870467189401
Orig mem + Normal,6,52.732037138193846,24.329411028944218,57.431730665266514,24.176588487676355
Orig mem + Normal,7,40.90080965310335,22.612603303446708,45.62849694862962,23.411132409086758
Orig mem + Normal,8,39.88701353780925,21.036106080950805,44.58511872217059,21.864753349660045
Orig mem + Normal,9,37.64019030146301,19.32416716465715,42.87827640771866,19.977448102119094
Orig mem + Normal,10,31.731733207125217,16.62448456810652,36.43318242859095,18.293204270320317
Orig mem + Normal,11,35.88241922669113,18.07156295872874,40.45462090522051,19.430040732323434
Orig mem + Point,0,81.03759087622166,17.571125991298526,82.75214716792107,17.38552809922204
Orig mem + Point,1,60.90855924412608,23.26215369869064,66.68390918523073,22.49796717163528
Orig mem + Point,2,56.364996396005154,22.988950327895985,62.174954190850265,23.1175872151939
Orig mem + Point,3,49.31177254766226,20.22155140224633,55.138222724199295,20.717975576925856
Orig mem + Point,4,46.96311093866825,20.398820133007582,53.2470776885748,20.836141599520065
Orig mem + Point,5,53.865559510886676,20.96377983977194,60.28689675033092,20.549258563260338
Orig mem + Point,6,55.25671126320958,23.060436250572078,61.478920839726925,22.600819077045394
Orig mem + Point,7,44.74417554214597,21.32427785006295,50.96114065498114,21.424682171921926
Orig mem + Point,8,46.26900613307953,20.006948421264298,52.06266174092888,20.57656739436389
Orig mem + Point,9,45.42685443535447,19.32853522002545,50.905251279473305,19.99881727483572
Orig mem + Point,10,39.9201812595129,15.98707944507218,45.4881196282804,16.884077050425738
Orig mem + Point,11,42.19663854688406,19.71846692249232,48.27503589913249,20.778844629133214
Orig mem + Matte,0,81.03759087622166,17.571125991298526,82.75214716792107,17.38552809922204
Orig mem + Matte,1,62.21571009606123,22.930182616642153,66.8539697676897,22.036666515607447
Orig mem + Matte,2,56.90929021686315,25.096436183738373,61.77402250468731,24.63575531030666
Orig mem + Matte,3,46.29970382899046,21.86342908197549,51.46596483886242,22.027417834064238
Orig mem + Matte,4,44.26922680810094,22.259409705511686,49.95827158913016,22.408044418466396
Orig mem + Matte,5,48.40330199338496,22.73553459851144,54.043480698019266,22.42249429772744
Orig mem + Matte,6,52.28836219757795,22.31343011701659,56.93220905959606,22.077696441544674
Orig mem + Matte,7,42.32653522863984,20.269046647278653,47.48561354354024,20.79055054104181
