Model,View,Mean IoU,Std IoU
Geo-aware mem + Normal,0,81.05241060256958,17.57117548828644
Geo-aware mem + Normal,1,61.62446778267622,23.968568513269272
Geo-aware mem + Normal,2,56.12888056784868,24.348753763109954
Geo-aware mem + Normal,3,45.619531222619116,22.967487115023964
Geo-aware mem + Normal,4,44.566177260130644,23.427296968752525
Geo-aware mem + Normal,5,51.267917053774,23.904345184401162
Geo-aware mem + Normal,6,56.31469023413956,22.276679280566285
Geo-aware mem + Normal,7,43.97797517478466,22.21653632403294
Geo-aware mem + Normal,8,42.10493424907327,21.0202471580366
Geo-aware mem + Normal,9,38.86046134866774,19.8777867127722
Geo-aware mem + Normal,10,34.88579777535051,17.178892624212647
Geo-aware mem + Normal,11,39.34140844794456,20.53763626271777
Geo-aware mem + Point,0,81.05241060256958,17.57117548828644
Geo-aware mem + Point,1,60.682039707899094,23.326504553128995
Geo-aware mem + Point,2,56.302539594471455,22.903767838322825
Geo-aware mem + Point,3,48.95173795521259,20.264098103222434
Geo-aware mem + Point,4,47.07807522267103,20.382063795852428
Geo-aware mem + Point,5,54.651273898780346,20.93530621839555
Geo-aware mem + Point,6,55.98887227475643,22.477442474088427
Geo-aware mem + Point,7,46.066343765705824,20.99385543403011
Geo-aware mem + Point,8,47.62329740449786,20.31836699721883
Geo-aware mem + Point,9,46.689925361424685,20.018436054706033
Geo-aware mem + Point,10,41.1106101796031,16.620082805729762
Geo-aware mem + Point,11,43.7693958170712,20.57736577121766
Geo-aware mem + Matte,0,81.05241060256958,17.57117548828644
Geo-aware mem + Matte,1,62.262937389314175,22.99250028114162
Geo-aware mem + Matte,2,56.70178972184658,25.09960476476743
Geo-aware mem + Matte,3,46.59062195569277,21.749678629399135
Geo-aware mem + Matte,4,44.79349693283439,21.356616750076952
Geo-aware mem + Matte,5,50.732801519334316,22.763464675102078
Geo-aware mem + Matte,6,58.23163591325283,20.38034194132414
Geo-aware mem + Matte,7,45.228825425729156,21.982233469603443
Geo-aware mem + Matte,8,43.561833184212446,18.559885630031236
Geo-aware mem + Matte,9,41.42104468308389,17.368312992817494
Geo-aware mem + Matte,10,38.39114250615239,17.928860514325763
Geo-aware mem + Matte,11,41.4189825206995,17.994610334710668
Finetuned Multimodal (MM + Geo-aware mem),0,81.05241060256958,17.57117548828644
Finetuned Multimodal (MM + Geo-aware mem),1,64.74758520722389,21.540588889737304
Finetuned Multimodal (MM + Geo-aware mem),2,60.42747851461172,22.827003167481095
Finetuned Multimodal (MM + Geo-aware mem),3,54.332962706685066,20.403540477231598
Finetuned Multimodal (MM + Geo-aware mem),4,54.333354234695435,19.864707708667808
Finetuned Multimodal (MM + Geo-aware mem),5,60.683845207095146,19.958530945651564
Finetuned Multimodal (MM + Geo-aware mem),6,62.14414577931166,19.503489540516053
Finetuned Multimodal (MM + Geo-aware mem),7,51.54918882995844,19.635074787225882
Finetuned Multimodal (MM + Geo-aware mem),8,51.24417845159769,17.007039291350367
Finetuned Multimodal (MM + Geo-aware mem),9,50.42067747563124,16.272925105422193
Finetuned Multimodal (MM + Geo-aware mem),10,47.8786901012063,15.716332928218185
Finetuned Multimodal (MM + Geo-aware mem),11,47.17671446502209,16.26999005438205
